791.7	49.8	200	50	3,50288; 	0,144866; 	32,5949; 	1273	
370.9	46.5	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
347.5	37.8	200	24.604	0,848193; 	2,47075; 	273,555; 	809	
824.8	16.6	200	27.4991	1,05955; 	1,58333; 	195,931; 	873	
929.2	14.3	200	31.6748	1,40576; 	0,899485; 	128,209; 	867	
749.9	24.9	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
659.6	11.1	200	44.1384	2,72972; 	0,238551; 	47,3816; 	873	
456.8	42	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
304.7	46.5	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
386.5	38.9	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
266.2	45.6	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
293.4	14.9	200	30.3243	1,28845; 	1,07074; 	146,113; 	1142	
690.3	28.9	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
431.6	42.3	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
719.3	43.9	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
333.7	41.1	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
713.8	29.8	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
267.6	26.5	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
402.8	17.6	200	26.348	0,972702; 	1,8787; 	222,75; 	1186	
498.3	22	199.996	24.0199	0,808386; 	2,71978; 	293,992; 	1184	
527.2	18.2	200	25.8004	0,932689; 	2,04335; 	237,237; 	1170	
222.2	36.8	217.774	26.1493	1,04323; 	2,5; 	248,118; 	436	
284.5	49	259.847	29.8533	1,6224; 	2,5; 	198,962; 	436	
374.1	34.4	200	26.1192	0,955879; 	1,94541; 	228,656; 	917	
790.8	45.8	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
853.3	27	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
231.5	36.8	225.636	26.8541	1,13995; 	2,5; 	237,359; 	436	
262	47	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
600.9	18.8	200	25.648	0,921704; 	2,09235; 	241,49; 	913	
989.3	45.4	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
762.8	48.2	200	24.5317	0,843215; 	2,5; 	275,981; 	1708	
701.7	41.8	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
333.3	14.5	200	31.2411	1,36754; 	0,950473; 	133,622; 	905	
843.5	21.3	200	24.5317	0,843215; 	2,5; 	275,981; 	1603	
732.2	31.8	200	24.5497	0,844454; 	2,49267; 	275,374; 	1002	
303.4	29.4	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
825.2	10.8	200	46.0813	2,97532; 	0,200793; 	41,6377; 	891	
681.4	39.8	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
239.8	25.5	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
734.2	40.6	200	24.5317	0,843215; 	2,5; 	275,981; 	436	
486.6	32.8	200	24.5317	0,843215; 	2,5; 	275,981; 	1716	
687.7	48.1	200	24.5317	0,843215; 	2,5; 	275,981; 	1708	
