1.4392	8.2943	-3	-3	72 	0 	1024	-3	-3	720 	0 	1024	-3	-3	7200 	0 	1024
6.3507	-3.2015	-2.94	-2.94	70,5672 	0,0072 	723	0.0150754	0.0150754	178,195 	1,81814 	1761	2.94118	2.94118	0,691905 	0,705953 	1000
4.6715	-5.349	-2.88	-2.88	69,1488 	0,0288 	992	1.02685	1.02685	77,8668 	3,2431 	1247	2.97074	2.97074	0,17119 	0,712996 	466
9.9389	1.6985	-2.82	-2.82	67,7448 	0,0648 	1789	1.53401	1.53401	42,9828 	4,11144 	1496	2.98066	2.98066	0,0747876 	0,715366 	719
8.8222	6.1835	-2.76	-2.76	66,3552 	0,1152 	1277	1.83871	1.83871	26,9719 	4,68262 	1000	2.98563	2.98563	0,0412736 	0,716556 	990
0.416	7.4162	-2.7	-2.7	64,98 	0,18 	1245	2.04202	2.04202	18,3546 	5,08439 	458	2.98862	2.98862	0,0258935 	0,717272 	462
4.7295	-4.8687	-2.64	-2.64	63,6192 	0,2592 	1249	2.18732	2.18732	13,209 	5,38166 	723	2.99061	2.99061	0,0176166 	0,717749 	464
-0.5116	4.7684	-2.58	-2.58	62,2728 	0,3528 	729	2.29634	2.29634	9,90266 	5,61025 	1237	2.99204	2.99204	0,012675 	0,718091 	711
3.7952	-2.0348	-2.52	-2.52	60,9408 	0,4608 	719	2.38117	2.38117	7,65911 	5,79139 	1229	2.99311	2.99311	0,00950011 	0,718347 	454
-9.2797	-5.1724	-2.46	-2.46	59,6232 	0,5832 	1769	2.44904	2.44904	6,07111 	5,93841 	1783	2.99394	2.99394	0,00734602 	0,718546 	1014
8.2758	-6.5407	-2.4	-2.4	58,32 	0,72 	1004	2.50459	2.50459	4,90868 	6,0601 	1265	2.9946	2.9946	0,00582151 	0,718706 	998
-5.7073	5.7488	-2.34	-2.34	57,0312 	0,8712 	729	2.55088	2.55088	4,03412 	6,16246 	2032	2.99515	2.99515	0,00470571 	0,718836 	994
-7.9565	-9.5815	-2.28	-2.28	55,7568 	1,0368 	1251	2.59006	2.59006	3,36098 	6,24976 	1793	2.9956	2.9956	0,00386632 	0,718945 	1018
-2.878	-7.7544	-2.22	-2.22	54,4968 	1,2168 	452	2.62365	2.62365	2,83281 	6,32508 	1257	2.99599	2.99599	0,00322035 	0,719037 	1008
7.6543	-2.4297	-2.16	-2.16	53,2512 	1,4112 	984	2.65276	2.65276	2,41153 	6,39074 	992	2.99632	2.99632	0,00271356 	0,719116 	992
4.7841	-8.1977	-2.1	-2.1	52,02 	1,62 	996	2.67823	2.67823	2,07068 	6,44847 	472	2.9966	2.9966	0,0023093 	0,719185 	470
8.5735	1.1348	-2.04	-2.04	50,8032 	1,8432 	1518	2.70071	2.70071	1,79146 	6,49962 	976	2.99685	2.99685	0,00198242 	0,719245 	717
-1.3992	-4.0461	-1.98	-1.98	49,6008 	2,0808 	954	2.7207	2.7207	1,56022 	6,54527 	1255	2.99707	2.99707	0,00171462 	0,719297 	988
5.7858	-1.4604	-1.92	-1.92	48,4128 	2,3328 	984	2.73858	2.73858	1,36685 	6,58625 	986	2.99727	2.99727	0,00149287 	0,719344 	723
7.6524	4.608	-1.86	-1.86	47,2392 	2,5992 	1263	2.75467	2.75467	1,20374 	6,62324 	1235	2.99744	2.99744	0,00130745 	0,719386 	719
-5.277	-1.9317	-1.8	-1.8	46,08 	2,88 	962	2.76923	2.76923	1,06509 	6,6568 	998	2.9976	2.9976	0,00115108 	0,719424 	741
2.0241	2.1614	-1.74	-1.74	44,9352 	3,1752 	1757	2.78247	2.78247	0,946395 	6,68739 	687	2.99774	2.99774	0,00101817 	0,719459 	432
-4.0915	4.2214	-1.68	-1.68	43,8048 	3,4848 	980	2.79456	2.79456	0,84414 	6,71538 	982	2.99787	2.99787	0,000904417 	0,71949 	717
9.6388	9.7037	-1.62	-1.62	42,6888 	3,8088 	1020	2.80564	2.80564	0,755537 	6,74109 	1004	2.99799	2.99799	0,000806433 	0,719518 	998
